window_id,room_or_zone,orientation_plan_relative,window_type,source_plan_evidence,measured_dwg_evidence,current_status,proposed_status,span_mm,sill_or_bay_note,confidence,verification_status,notes
W-KIT-S,kitchen,south,STANDARD_WINDOW,thin-line window symbol inside south wall band under kitchen,4-line glazing symbol x6100-7100 inside S-S.WALL band y0-200,EXISTING_WINDOW,EXISTING_KEEP,1000,"in-wall window, no projection",HIGH,CONFIRMED,kitchen south window; both sources agree
W-KIT-SW,kitchen/life-balcony corner,south,STANDARD_WINDOW,break in south wall band beside AC box — could be small window or door to life balcony,gap x5000-5380 between south wall segments (W-EXT-S-W1/-W2),OPENING_TO_VERIFY,EXISTING_KEEP,380,narrow 380mm gap,LOW,TO_VERIFY,ambiguous narrow opening — verify on site whether window or balcony door
W-SMB-S,secondary master bedroom,south,BAY_WINDOW,protruding box outline on south edge at secondary bedroom,outer-face gap x8500-10900; bay box x8400-11000 projecting to y-700; jamb+front triple lines,EXISTING_WINDOW,EXISTING_KEEP,2400,bay projects 700 south; glazed front x8400-11000 y-700/-650/-600,HIGH,CONFIRMED,south bay window
W-MB-S,master bedroom,south,BAY_WINDOW,protruding box outline on south edge at master bedroom,outer-face gap x12100-14800; bay box x12000-14900 projecting to y-700; jamb+front triple lines,EXISTING_WINDOW,EXISTING_KEEP,2700,bay projects 700 south; glazed front x12000-14900 y-700/-650/-600,HIGH,CONFIRMED,south bay window
W-LIV-N,living,north,BAY_WINDOW,hollow bay band + protruding outline on north edge at living room,wall-face gap x3800-6900 (faces y13000/13200); glazed front triple-line y13800/13850/13900 x3600-7100,EXISTING_WINDOW,EXISTING_KEEP,3100,bay projects ~900 north of wall face; glazed front x3600-7100 y13800-13900,HIGH,CONFIRMED,living-room north bay — the old W-BAY-F rect sat mid-air at y13400-13600 (floating segment); corrected to measured front y13800-13900
W-STUDY-NE,study,north (NE corner),BAY_WINDOW,stepped/protruding outline at NE corner of study on dev plan,wall face y11100 with gap x13600-15700; bay jambs x13500-13600 & x15700-15800 spanning y11100-11800; glazed front triple-line y11700/11750/11800,EXISTING_WINDOW,EXISTING_KEEP,2100,full-width bay projects to y11800; glazed front x13500-15800 y11700-11800,HIGH,CONFIRMED,"study lit by this NE bay — east wall is solid in BOTH sources (no east window); old W-EXT-NE band y11350-11550 sat inside bay projection = floating red segment, corrected"
W-GBATH-N,guest bath,north,STANDARD_WINDOW,dev-plan read ambiguous at this band — bath onto open balcony,triple-line glazing symbol x8900-9700 within wall band y10900-11040,EXISTING_WINDOW,EXISTING_KEEP,800,in-wall window facing open north balcony,MED,TO_VERIFY,DWG draws glazing lines but dev-plan unclear — verify on site
G-GB-BALC,guest bedroom,north,GLASS_DOOR,glass door zone to balcony marked on dev plan,triple-line glazing x10400-12400 in wall band; door insert present,EXISTING_GLASS_DOOR,EXISTING_KEEP,2000,double glass door; interior door — NOT the exterior balcony enclosure,HIGH,CONFIRMED,existing double glass door guest bedroom -> north balcony; keep-clear zone wider than leaf span
D-BALC-W,north balcony west,west end of north balcony,GLASS_DOOR,door mark at balcony west end,door block insert rot270 at balcony west edge; north wall face ends x7800 (measured),EXISTING_DOOR,EXISTING_KEEP,600,access door into north balcony from living side,MED,MEASURED,leaf type (solid vs glazed) TO_VERIFY on site
G-DIN-LIV,kitchen/dining <-> living,interior,GLASS_DOOR,owner blue-line markup — new sliding glass partition,owner statement; existing opening in measured plan,EXISTING_GLASS_DOOR,EXISTING_KEEP,2700,"3-track sliding glass door ~2700mm, interior partition",HIGH,CONFIRMED,owner-installed sliding glass partition kitchen/dining <-> living
N-BALC-ENCL,north balcony outer edge,north,PROPOSED_BALCONY_ENCLOSURE,dev plan shows open balcony parapet; owner green markup = L-shaped enclosure boundary,"parapet outline x7880-13020 y11100-13820 — railing only, NO glazing",OPEN_NOT_ENCLOSED,PROPOSED_LEGAL_TO_ENCLOSE,5100,proposed glazing sits on existing parapet line — NORTH run of L,HIGH,PROPOSED,TIME-STATE: current = OPEN_NOT_ENCLOSED; future enclosure = PROPOSED only — must not be drawn as existing window
N-BALC-ENCL-E,north balcony east edge,east return of balcony L,PROPOSED_BALCONY_ENCLOSURE,dev plan: thin parapet band on balcony east side + AC platform beyond,east parapet leg drawn: nested LWPOLY verticals x12900/12980/13020 spanning y11100-13820 + line x13100 y11100-13900,OPEN_NOT_ENCLOSED,PROPOSED_LEGAL_TO_ENCLOSE,2700,proposed glazing on existing east parapet leg — EAST return completing the L (RC2.3),HIGH,PROPOSED,east return of owner-marked L enclosure; AC platform sits beyond it
W-LBALC-S,life balcony south edge,south,BALCONY_GLAZING,owner green markup = window area; dev plan thin hollow band along balcony south edge,parapet band drawn y500/700 x1300-5700 — NO glazing lines above it in DWG wall layer,EXISTING_GLAZING_OWNER_MARKED,EXISTING_KEEP,4500,glazing band sits ON south parapet (railing base kept),MED,TO_VERIFY,owner marks this as window zone; DWG draws parapet only — field-verify glazing presence + sill height (RC2.3)
W-LBALC-W,life balcony west edge,west,BALCONY_GLAZING,owner green markup = window area; dev plan thin hollow band along balcony west edge,parapet band drawn x1300-1500 y500-2500 — NO glazing lines above it in DWG wall layer,EXISTING_GLAZING_OWNER_MARKED,EXISTING_KEEP,1900,glazing band sits ON west parapet (railing base kept),MED,TO_VERIFY,west leg of life-balcony glazing L — field-verify with W-LBALC-S
